(s, ns, GiB/s):
  0, 0.000, 10200.665, 2.992
  1, 0.000, 10194.969, 2.993
  2, 0.000, 10194.496, 2.994
  3, 0.000, 10194.883, 2.993
  4, 0.000, 10192.464, 2.994
  5, 0.000, 10193.762, 2.994
  6, 0.000, 10191.869, 2.994
  7, 0.000, 10193.495, 2.994
  8, 0.000, 10192.356, 2.994
  9, 0.000, 10193.909, 2.994
 10, 0.000, 10192.206, 2.994
 11, 0.000, 10195.495, 2.993
 12, 0.000, 10166.476, 3.002
 13, 0.000, 10193.671, 2.994
 14, 0.000, 10193.564, 2.994
 15, 0.000, 10192.284, 2.994
 16, 0.000, 10193.486, 2.994
 17, 0.000, 10192.061, 2.994
 18, 0.000, 10202.637, 2.991
 19, 0.000, 10194.106, 2.994
 20, 0.000, 10195.535, 2.993
 21, 0.000, 10193.155, 2.994
 22, 0.000, 10193.652, 2.994
 23, 0.000, 10193.571, 2.994
 24, 0.000, 10192.980, 2.994
 25, 0.000, 10193.508, 2.994
 26, 0.000, 10215.307, 2.987
 27, 0.000, 10203.569, 2.991
 28, 0.000, 10192.461, 2.994
 29, 0.000, 10193.370, 2.994
 30, 0.000, 10192.157, 2.994
 31, 0.000, 10193.445, 2.994
 32, 0.000, 10192.215, 2.994

10166.476, 10215.307, 10194.054, 6.757, 0.066 %

Delta(min, max)   = 48.831
Delta(amean, min) = 27.578
Delta(amean, max) = 21.253


(cycles, CPIt, CPI):
  0, 26420.750, 6.450, 1.290
  1, 26436.102, 6.454, 1.291
  2, 26420.890, 6.450, 1.290
  3, 26425.724, 6.452, 1.290
  4, 26421.864, 6.451, 1.290
  5, 26419.308, 6.450, 1.290
  6, 26416.454, 6.449, 1.290
  7, 26419.632, 6.450, 1.290
  8, 26416.450, 6.449, 1.290
  9, 26419.906, 6.450, 1.290
 10, 26416.640, 6.449, 1.290
 11, 26430.382, 6.453, 1.291
 12, 26419.966, 6.450, 1.290
 13, 26417.752, 6.450, 1.290
 14, 26419.524, 6.450, 1.290
 15, 26416.618, 6.449, 1.290
 16, 26421.926, 6.451, 1.290
 17, 26416.554, 6.449, 1.290
 18, 26419.576, 6.450, 1.290
 19, 26423.830, 6.451, 1.290
 20, 26420.020, 6.450, 1.290
 21, 26420.246, 6.450, 1.290
 22, 26416.476, 6.449, 1.290
 23, 26420.792, 6.450, 1.290
 24, 26416.874, 6.449, 1.290
 25, 26420.424, 6.450, 1.290
 26, 26091.172, 6.370, 1.274
 27, 25493.210, 6.224, 1.245
 28, 25737.726, 6.284, 1.257
 29, 25629.008, 6.257, 1.251
 30, 25571.300, 6.243, 1.249
 31, 25712.418, 6.277, 1.255
 32, 25638.596, 6.259, 1.252

25493.210, 26436.102, 26266.912, 312.096, 1.188 %

Delta(min, max)   = 942.892
Delta(amean, min) = 773.702
Delta(amean, max) = 169.190
